"censusYear","zone","Channel Islands","UK part not specified","Irish Republic","China","South Africa","Africa other","Caribbean","South America","Other Middle East","Other East Asia","Other Europe","Rest of World","England","Scotland","Wales","Northern Ireland","Australia","Canada","New Zealand","Kenya","Zimbabwe","Nigeria","Bangladesh","India","Pakistan","Hong Kong","Malaysia","Singapore","France","Germany","Greece","Italy","Netherlands","Spain","Poland","Romania","Turkey","United States","Iran"
1991,"5706AW",2,0,52,1,14,8,0,0,4,0,12,8,445,10815,17,59,7,11,1,0,1,1,2,11,15,6,0,3,0,19,0,5,2,2,12,0,2,6,0
1991,"5706AX",2,0,18,1,0,3,1,4,4,0,3,10,310,7319,11,22,5,5,0,0,3,0,1,12,14,6,1,0,0,10,0,1,0,0,7,0,0,6,0
1991,"5706AY",0,0,16,0,2,2,0,0,0,0,2,3,226,5122,15,15,3,3,0,2,0,0,0,6,27,2,0,2,3,15,0,3,0,0,15,0,0,2,1
1991,"5707AE",0,0,15,0,4,7,1,0,12,3,6,3,369,8230,14,31,2,6,1,0,2,0,0,18,4,6,2,4,3,33,1,3,1,0,4,0,0,5,0
1991,"5707AF",0,0,11,0,4,0,0,1,2,0,0,5,229,4576,14,16,2,4,2,0,0,0,0,3,3,3,2,1,0,9,0,2,0,1,7,0,4,5,0
1991,"5707AG",1,0,15,0,4,8,2,1,2,5,6,22,488,6302,38,21,10,18,5,2,0,0,0,11,9,6,1,2,6,27,0,5,4,1,9,0,0,5,2
1991,"5707AH",0,0,17,0,2,3,5,0,0,0,2,9,273,6437,11,22,4,13,3,2,0,0,0,8,8,5,2,2,1,23,0,2,4,2,9,0,0,4,1
1991,"5707AJ",3,0,35,0,4,5,2,3,1,0,9,4,514,6995,20,41,10,9,4,3,2,2,0,2,7,5,2,10,2,26,3,8,3,3,11,0,2,13,0
1991,"5707AK",4,0,28,4,1,6,3,3,3,7,10,11,427,2618,25,31,3,15,2,5,1,7,0,15,3,4,7,1,7,16,4,2,0,3,8,0,0,9,2
1991,"5707AL",1,0,34,2,10,9,6,1,2,2,13,7,769,4434,24,30,11,12,8,2,4,0,1,13,0,2,3,3,5,18,0,0,9,0,2,1,0,10,0
1991,"5707AM",0,0,26,11,8,27,2,9,9,12,23,15,857,4165,27,43,4,18,4,8,7,4,8,15,14,29,16,9,10,22,3,6,4,6,7,0,2,29,1
1991,"5707AN",1,1,27,0,5,7,1,3,11,20,16,17,465,4289,25,42,7,8,0,5,3,0,2,16,7,11,19,0,3,28,5,8,1,4,6,0,3,13,3
1991,"5707AP",0,0,18,0,6,11,2,0,5,1,5,15,675,3765,27,42,2,9,4,1,0,0,1,12,5,3,0,4,5,20,3,6,2,2,6,0,0,5,2
1991,"5707AQ",1,0,13,0,6,9,1,4,4,3,5,13,577,2590,30,21,9,8,2,4,3,2,0,5,0,5,3,0,0,14,0,3,1,1,6,0,0,9,0
1991,"5707AR",0,0,13,0,2,2,1,0,0,0,9,1,296,1600,4,10,0,1,4,1,0,1,0,6,1,0,1,0,0,7,0,1,1,0,1,0,0,4,0
1991,"5707AS",0,6,25,1,7,3,0,0,1,1,6,4,496,2619,19,23,7,13,2,0,1,1,0,3,0,0,2,0,2,12,0,2,1,2,1,0,0,7,0
1991,"5707AX",6,0,4,0,2,3,0,1,0,0,5,2,376,1362,16,21,1,4,0,1,0,0,0,2,2,0,0,1,1,7,0,0,1,1,2,0,0,4,0
1991,"5707AZ",1,0,22,2,7,6,8,2,3,2,7,4,640,3640,34,30,4,10,3,6,1,1,0,10,1,3,0,1,8,11,0,3,1,3,2,0,1,8,0
1991,"5707BA",0,0,20,0,10,8,2,5,1,2,11,4,593,3819,28,48,4,10,8,3,3,1,0,8,0,1,1,1,3,12,0,2,2,2,4,0,0,9,0
1991,"5808AA",0,0,9,1,5,1,0,0,2,2,6,3,1522,1892,14,11,2,0,1,1,1,0,0,2,0,0,1,0,0,15,0,1,6,0,0,0,0,0,0
1991,"5808AD",3,0,17,0,4,4,3,1,2,2,3,7,768,2643,26,21,2,7,1,2,0,0,0,5,5,0,1,2,2,14,0,5,2,0,2,0,0,7,0
1991,"5808AE",2,0,23,1,0,0,1,3,0,0,5,0,738,3713,21,37,7,7,0,0,1,0,1,6,0,0,3,0,1,14,0,0,0,0,0,0,0,6,0
1991,"5808AF",1,0,6,0,7,3,3,0,1,2,17,5,573,4337,20,36,4,2,0,3,3,0,0,8,10,5,4,1,0,13,0,0,5,2,3,1,0,4,0
1991,"5808AG",0,0,9,1,0,5,0,0,1,0,0,4,762,2297,9,36,1,3,0,1,0,1,0,2,0,0,1,0,0,12,0,4,0,0,3,0,0,5,2
1991,"5808AH",1,0,14,0,0,7,0,0,1,1,15,4,710,4900,14,30,2,3,0,1,0,0,0,10,1,6,1,1,0,13,0,0,0,1,2,0,1,3,0
1991,"5808AJ",2,0,24,6,4,4,2,0,1,2,14,8,1133,5510,23,25,10,6,1,1,0,0,0,6,7,9,1,1,1,21,0,5,1,2,5,0,0,6,0
1991,"5808AK",1,0,10,4,4,2,1,4,3,2,5,1,734,2432,8,6,3,6,3,0,0,0,0,3,1,2,0,0,5,6,0,3,5,4,10,0,0,7,0
1991,"5808AL",3,0,0,0,0,1,0,0,0,0,3,0,547,760,4,5,1,0,2,0,0,0,0,2,0,1,1,0,1,3,0,2,0,0,1,0,0,0,0
1991,"5809AA",1,0,20,0,4,3,0,1,2,0,6,4,509,5150,24,49,9,8,2,1,2,0,0,6,5,16,1,1,6,37,0,0,1,1,3,0,1,3,0
1991,"5809AB",2,0,13,2,2,2,0,0,1,0,2,3,202,2066,6,22,5,0,1,1,1,0,5,4,0,11,3,0,2,11,0,10,1,0,2,0,1,1,0
1991,"5809AC",0,0,19,2,1,6,2,3,0,0,6,11,572,5047,18,43,1,8,5,1,1,1,0,8,0,0,2,2,3,18,0,9,0,6,4,0,0,3,0
1991,"5809AD",0,0,44,4,9,10,0,3,7,4,19,12,1309,9567,42,127,10,12,6,3,4,6,5,13,13,10,1,4,2,49,0,10,7,2,8,4,2,6,3
1991,"5809AE",0,0,24,1,1,3,3,0,3,0,0,6,439,4205,12,37,6,11,4,1,1,0,0,3,0,9,4,1,3,4,0,8,6,3,6,1,0,4,0
1991,"5809AF",0,0,16,0,0,2,3,0,0,0,10,6,414,2026,11,12,3,0,1,0,0,0,0,6,2,2,1,1,1,9,0,1,1,0,2,0,0,4,0
1991,"5809AG",0,0,25,0,4,4,1,2,3,0,13,7,425,6284,12,39,5,7,2,1,1,0,0,4,2,7,1,2,4,37,0,3,0,2,3,0,3,1,0
1991,"5809AH",2,0,35,2,3,5,3,0,3,0,9,9,600,6855,16,57,7,10,4,0,8,0,0,1,1,9,2,4,2,43,0,3,1,0,2,0,3,4,1
1991,"5809AJ",1,0,5,1,0,7,0,1,0,1,6,5,367,1638,11,10,2,6,4,2,0,0,0,2,1,0,1,0,4,12,0,0,0,0,5,0,0,3,0
1991,"5809AK",0,0,6,0,3,0,1,0,3,1,8,3,313,2248,9,8,2,1,0,0,0,1,0,0,0,3,0,2,0,4,0,0,1,0,3,0,0,1,0
1991,"5809AL",1,0,7,0,1,1,3,0,1,0,2,7,310,4561,4,25,3,6,0,0,1,0,1,4,1,1,0,1,1,14,0,0,0,0,5,0,0,4,0
1991,"5810AA",0,0,3,0,3,0,0,0,0,0,3,1,237,949,5,19,2,3,0,2,2,3,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,4,0
1991,"5810AE",2,0,20,3,9,7,0,4,0,0,2,5,927,4276,26,36,3,5,1,0,1,1,0,11,0,8,0,4,3,19,0,2,3,0,3,0,0,5,0
1991,"5810AF",10,0,17,2,7,3,7,2,3,0,7,6,916,4231,22,41,6,9,4,2,2,0,0,8,1,5,1,0,1,27,2,1,5,1,4,0,0,4,0
1991,"5810AG",2,0,14,1,4,6,2,1,2,5,1,0,704,4554,24,56,2,6,0,1,0,0,0,4,0,7,1,0,3,14,0,2,0,0,1,0,0,8,1
1991,"5810AH",1,0,18,0,3,1,0,3,3,0,2,1,551,1601,10,39,5,5,1,4,0,0,0,6,0,0,0,0,0,5,1,0,0,0,0,0,0,10,1
1991,"5810AJ",1,0,19,1,2,1,1,1,1,0,9,9,855,2905,25,38,9,7,3,2,0,0,0,9,1,1,11,2,3,11,0,0,3,2,0,1,0,5,1
1991,"5811AC",2,0,21,2,3,3,1,0,0,4,7,7,517,3582,23,58,3,3,1,0,0,0,0,6,1,4,1,0,1,13,0,3,0,5,3,0,1,5,0
1991,"5811AD",2,0,4,0,2,0,0,0,0,0,4,1,243,994,6,7,1,7,1,0,0,0,0,2,0,0,1,0,1,2,0,0,5,0,0,0,0,0,0
1991,"5811AE",0,0,3,4,4,3,0,0,0,1,3,1,416,1957,13,25,2,1,0,0,3,0,0,2,1,0,3,1,4,4,0,0,0,0,1,0,0,3,0
1991,"5811AF",4,0,12,0,1,8,0,0,1,0,3,0,534,2464,10,36,0,2,0,3,0,0,0,2,2,0,0,1,0,5,0,0,0,0,2,0,0,6,0
1991,"5811AG",0,0,1,0,0,2,0,1,0,0,0,0,263,1620,7,17,0,1,0,0,0,1,0,0,0,0,1,0,1,5,0,0,2,1,0,0,0,1,0
1991,"5811AH",1,0,24,0,0,1,0,2,2,0,7,6,363,5998,17,89,1,7,4,2,0,0,0,8,0,1,0,1,3,20,0,5,0,1,1,0,0,2,0
1991,"5811AJ",6,0,24,0,4,7,1,0,1,1,4,3,455,3617,15,67,1,2,0,2,1,0,0,3,0,0,2,2,1,17,0,0,0,0,3,0,0,0,0
1991,"5811AK",3,0,4,0,0,0,0,0,0,0,4,5,386,1894,12,51,3,2,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,2,0
1991,"5811AL",1,0,12,1,2,0,2,2,2,0,3,4,390,3275,16,105,2,2,3,0,0,0,0,5,0,4,0,1,0,8,1,2,0,0,0,0,0,2,0
1991,"5912AB",0,0,12,0,1,4,2,0,1,1,2,0,200,3066,7,15,4,2,5,0,0,0,0,0,8,2,0,1,0,6,0,3,0,0,6,0,0,4,0
1991,"5912AE",1,0,7,0,3,3,1,0,0,0,1,3,336,1290,17,21,4,2,2,0,1,0,0,3,0,1,1,6,3,6,0,5,6,3,0,0,0,7,0
