"censusYear","zone","econActive","unemployed","percentEmployed"
1971,"01AEFK",2777.92694068079,118.283476794145,95.7420234829806
1971,"01AEFL",4305.77451874921,136.698158843619,96.825236476077
1971,"01AEFM",3500.70532959514,146.215495110428,95.8232561342906
1971,"01AEFN",4444.32810502843,194.049245854516,95.6337776764285
1971,"01AEFP",6584.94092892773,232.457276211864,96.4698654290022
1971,"01AEFQ",6500.74147410506,199.085827776176,96.9374904606004
1971,"01AEFR",3436.52252522354,172.843781889074,94.9703870520147
1971,"01AEFS",4312.37248664056,183.410478217258,95.7468776459953
1971,"01AEFT",3958.22556639483,205.954159628226,94.796805887548
1971,"01AEFU",4005.02163167577,171.31535314963,95.7224861959622
1971,"01AEFW",6532.89899858453,257.651972298169,96.0560851720807
1971,"01AEFX",6319.99683334749,216.634575717287,96.5722360085022
