"Zone Code","UV0280002","UV0280012"
"00NENT0005",129,13
"00NENT0006",80,21
"00NENT0007",80,11
"00NENT0008",53,24
"00NENT0009",103,9
"00NENU0001",137,6
"00NENU0002",138,5
"00NENU0003",134,9
"00NENU0004",115,6
"00NENU0005",90,5
"00NENW0001",181,8
"00NENW0002",166,4
"00NENW0003",115,3
"00NENW0004",186,4
"00NENW0005",163,8
"00NENW0006",111,3
"00NENX0001",176,12
"00NENX0002",125,16
"00NENX0003",148,10
"00NENX0004",62,3
"00NENX0005",119,7
"00NENX0006",65,7
"00NENX0007",147,15
"00NENY0001",164,3
"00NENY0002",141,4
"00NENY0003",120,4
"00NENY0004",118,3
"00NENY0005",170,3
"00NENY0006",167,9
"00NENZ0001",121,4
"00NENZ0002",120,7
"00NENZ0003",115,3
"00NENZ0004",68,3
"00NENZ0005",94,3
"00NENZ0006",138,9
"00NEPA0001",156,0
"00NEPA0002",148,12
"00NEPA0003",102,5
"00NEPA0004",84,8
"00NEPA0005",133,16
"00NEPA0006",133,11
"00NEPA0007",174,6
"00NEPA0008",111,9
"00NEPA0009",143,4
"00NEPA0010",111,4
"00NEPA0011",134,6
"00NEPA0012",104,8
"00NEPA0013",162,7
"00NEPA0014",144,8
"00NEPB0001",123,4
"00NEPB0002",150,8
"00NEPB0003",133,11
"00NEPB0004",111,15
"00NEPB0005",134,4
"00NEPB0006",117,0
"00NEPB0007",125,6
"00NEPB0008",129,9
"00NEPB0009",100,7
"00NEPB0010",106,9
"00NEPB0011",137,3
"00NEPB0012",103,8
"00NEPB0013",179,6
"00NEPB0014",120,12
"00NEPB0015",81,7
"00NEPC0001",89,0
"00NEPC0002",138,5
"00NEPC0003",135,5
"00NEPC0004",103,7
"00NEPC0005",85,4
"00NEPC0006",110,0
"00NEPC0007",79,6
"00NEPC0008",52,4
"00NEPC0009",117,11
"00NEPC0010",108,15
"00NEPC0011",125,9
"00NEPC0012",127,12
"00NEPC0013",85,11
"00NEPD0001",167,5
"00NEPD0002",91,3
"00NEPD0003",119,11
"00NEPD0004",72,9
"00NEPD0005",119,15
"00NEPD0006",135,9
"00NEPD0007",119,7
"00NEPE0001",109,4
"00NEPE0002",72,6
"00NEPE0003",110,0
"00NEPE0004",111,4
"00NEPE0005",67,0
"00NEPE0006",94,5
"00NEPE0007",97,4
"00NEPE0008",62,0
"00NEPE0009",109,6
"00NEPE0010",99,3
"00NEPE0011",97,6
"00NEPE0012",125,11
"00NEPE0013",139,8
"00NEPE0014",154,11
"00NEPF0001",193,4
"00NEPF0002",159,8
"00NEPF0003",108,7
"00NEPF0004",125,9
"00NEPF0005",149,3
"00NEPG0001",101,6
"00NEPG0002",112,12
"00NEPG0003",166,4
"00NEPG0004",113,9
"00NEPG0005",95,9
"00NEPG0006",129,3
"00NEPG0007",70,6
"00NEPG0008",158,3
"00NEPG0009",98,9
"00NEPG0010",143,5
"00NEPG0011",130,3
"00NEPG0012",140,6
"00NEPH0001",218,7
"00NEPH0002",78,12
"00NEPH0003",67,0
"00NEPH0004",199,6
"00NEPH0005",67,0
"00NEPH0006",117,9
"00NEPH0007",52,3
"00NEPH0008",23,0
"00NEPH0009",29,0
"00NEPH0010",128,3
"00NEPH0011",114,6
"00NEPH0012",80,3
"00NEPH0013",61,0
"00NEPH0014",163,8
"00NEPH0015",64,3
"00NEPH0016",59,5
"00NEPH0017",58,3
"00NEPJ0001",114,16
"00NEPJ0002",132,13
"00NEPJ0003",113,7
"00NEPJ0004",123,7
"00NEPJ0005",155,15
"00NEPJ0006",101,9
"00NEPJ0007",139,5
"00NEPJ0008",170,8
"00NEPJ0009",146,8
"00NEPJ0010",40,3
"00NEPJ0011",122,18
"00NEPJ0012",116,15
"00NEPJ0013",125,29
"00NEPJ0014",121,10
"00NEPK0001",98,14
"00NEPK0002",95,3
"00NEPK0003",152,15
"00NEPK0004",76,4
"00NEPK0005",87,6
"00NEPK0006",62,0
"00NEPK0007",152,17
"00NEPK0008",161,6
"00NEPK0009",161,9
"00NEPK0010",148,8
"00NEPK0011",125,9
"00NEPK0012",108,10
"00NEPK0013",139,15
"00NEPK0014",38,0
"00NEPL0001",140,12
"00NEPL0002",148,11
"00NEPL0003",107,11
"00NEPL0004",150,8
"00NEPM0001",155,4
"00NEPM0002",153,5
"00NEPM0003",131,8
"00NEPM0004",121,10
"00NEPM0005",135,5
"00NEPM0006",125,26
"00NEPM0007",117,4
"00NEPM0008",149,5
"00NEPM0009",128,6
"00NEPM0010",91,4
"00NEPM0011",104,7
"00NEPM0012",69,12
"00NEPM0013",99,10
"00NEPM0014",128,8
"00NEPM0015",82,12
"00NEPM0016",98,7
"00NEPM0017",139,4
"00NEPM0018",134,13
"00NEPM0019",88,4
"00NEPN0001",130,7
"00NEPN0002",110,3
"00NEPN0003",126,3
"00NEPN0004",122,6
"00NEPN0005",123,3
"00NEPN0006",141,3
"00NEPP0001",90,3
"00NEPP0002",89,6
"00NEPP0003",96,8
"00NEPP0004",114,6
"00NEPP0005",68,6
"00NEPP0006",118,8
"00NEPP0007",46,5
"00NEPP0008",107,4
"00NEPP0009",88,5
"00NEPP0010",56,5
"00NEPP0011",65,3
"00NEPP0012",92,5
"00NEPP0013",121,5
"00NEPP0014",77,7
"00NEPP0015",71,7
"00NEPP0016",66,3
"00NEPP0017",127,9
"00NEPP0018",161,7
"00NEPP0019",127,3
"00NEPP0020",114,10
"00NEPP0021",134,7
"00NEPP0022",116,3
"00NEPP0023",74,6
"00NEPP0024",43,0
"00NEPP0025",110,10
"00NEPP0026",97,4
"00NEPP0027",66,9
"00NEPQ0001",132,3
"00NEPQ0002",187,5
"00NEPQ0003",182,8
"00NEPQ0004",153,7
"00NEPR0001",99,13
"00NEPR0002",235,14
"00NEPR0003",130,7
"00NEPR0004",136,0
"00NEPR0005",123,4
"00NEPR0006",123,3
"00NEPR0007",127,8
"00NEPR0008",151,13
"00NEPS0001",155,5
"00NEPS0002",147,6
"00NEPS0003",167,8
"00NEPS0004",137,12
"00NEPS0005",168,8
"00NEPS0006",198,6
"00NEPT0001",160,4
"00NEPT0002",137,5
"00NEPT0003",143,6
"00NEPT0004",165,4
"00NEPT0005",115,9
"00NEPT0006",125,25
"00NEPT0007",101,17
"00NEPT0008",192,6
"00NEPU0001",116,6
"00NEPU0002",102,3
"00NEPU0003",164,11
"00NEPU0004",132,6
"00NEPU0005",133,4
"00NEPU0006",156,9
"00NEPU0007",123,8
"00NEPU0008",113,0
"00NEPU0009",149,10
"00NEPU0010",136,3
"00NEPU0011",98,3
"00NEPU0012",111,8
"00NEPU0013",106,6
"00NEPW0001",122,12
