"Zone Code","UV0280002","UV0280012"
"60QA000821",50,4
"60QA000822",70,4
"60QA000823",48,4
"60QA000824",40,4
"60QA000825",74,3
"60QA000826",76,8
"60QA000827",58,3
"60QA000828",43,1
"60QA000829",44,3
"60QA000830",51,1
"60QA000831",56,2
"60QA000832",63,2
"60QA000833",57,4
"60QA000834",86,5
"60QA000835",41,0
"60QA000836",123,6
"60QA000837",76,0
"60QA000838",39,9
"60QA000839",40,1
"60QA000840",19,2
"60QA000841",42,4
"60QA000842",10,1
"60QA000843",49,1
"60QA000844",84,1
"60QA000845",58,4
"60QA000846",54,4
"60QA000847",43,3
"60QA000848",52,3
"60QA000849",37,1
"60QA000850",55,2
"60QA000851",69,2
"60QA000852",78,1
"60QA000853",74,5
"60QA000854",27,2
"60QA000855",55,1
"60QA000856",27,2
"60QA000857",50,2
"60QA000858",15,1
"60QA000859",66,3
"60QA000860",47,3
"60QA000861",74,1
"60QA000862",70,1
"60QA000863",81,7
"60QA000864",77,2
"60QA000865",69,0
"60QA000866",56,5
"60QA000867",43,2
"60QA000868",72,1
"60QA000869",71,2
"60QA000870",93,2
"60QA000871",64,3
"60QA000872",36,0
"60QA000873",125,1
"60QA000874",46,6
"60QA000875",34,1
"60QA000876",42,1
"60QA000877",43,3
"60QA000878",24,3
"60QA000879",50,8
"60QA000880",42,4
"60QA000881",66,1
"60QA000882",50,1
"60QA000883",42,3
"60QA000884",44,5
"60QA000885",67,4
"60QA000886",63,3
"60QA000887",60,2
"60QA000888",59,2
"60QA000889",86,2
"60QA000890",89,2
"60QA000891",61,4
"60QA000892",68,3
"60QA000893",38,0
"60QA000894",46,1
"60QA000895",18,1
"60QA000896",80,2
"60QA000897",80,6
"60QA000898",74,6
"60QA000899",31,0
"60QA000900",46,1
"60QA000901",40,0
"60QA000902",40,5
"60QA000903",63,3
"60QA000904",38,2
"60QA000905",72,4
"60QA000906",39,5
"60QA000907",36,4
"60QA000908",51,1
"60QA000909",42,3
"60QA000910",43,7
"60QA000911",53,3
"60QA000912",46,1
"60QA000913",60,2
"60QA000914",64,5
"60QA000915",42,4
"60QA000916",38,4
"60QA000917",70,6
"60QA000918",44,3
"60QA000919",40,2
"60QA000920",56,6
"60QA000921",32,3
"60QA000922",33,0
"60QA000923",51,3
"60QA000924",53,3
"60QA000925",42,4
"60QA000926",58,4
