Zone ID,Zone name,l080001,l080020,l080115,l080134,l080172
01AHFA,Angell                          ,8274,5148,108,1292,3126
01AHFB,Bishop's                        ,7925,4752,94,839,3173
01AHFC,Clapham Park                    ,9907,6648,56,915,3259
01AHFD,Clapham Town                    ,9631,6556,92,1067,3075
01AHFE,Ferndale                        ,10041,6896,145,1461,3145
01AHFF,Gipsy Hill                      ,9424,5962,68,903,3462
01AHFG,Herne Hill                      ,8903,6069,76,1016,2834
01AHFH,Knight's Hill                   ,9846,6149,72,954,3697
01AHFJ,Larkhall                        ,10297,6623,115,1356,3674
01AHFK,Oval                            ,9263,6150,63,1106,3113
01AHFL,Prince's                        ,6579,4121,69,686,2458
01AHFM,St.Leonard's                    ,8847,6009,50,756,2838
01AHFN,St.Martin's                     ,8210,5243,70,912,2967
01AHFP,Stockwell                       ,8532,5429,64,1121,3103
01AHFQ,Streatham Hill                  ,9826,6288,56,900,3538
01AHFR,Streatham South                 ,8808,5759,61,703,3049
01AHFS,Streatham Wells                 ,10523,6956,80,942,3567
01AHFT,Thornton                        ,6419,4282,57,529,2137
01AHFU,Thurlow Park                    ,5885,3861,53,480,2024
01AHFW,Town Hall                       ,10073,6760,138,1272,3313
01AHFX,Tulse Hill                      ,9333,6633,123,1362,2700
01AHFY,Vassall                         ,10626,6614,146,1489,4012
01AHSS,Shipping                        ,0,0,0,0,0
01AJFA,Bellingham                      ,6159,3406,41,623,2753
01AJFB,Blackheath                      ,5351,3422,27,458,1929
01AJFC,Blythe Hill                     ,5568,3868,38,386,1700
01AJFD,Catford                         ,6297,3982,31,430,2315
01AJFE,Churchdown                      ,7403,4062,38,557,3341
01AJFF,Crofton Park                    ,8565,5820,57,746,2745
01AJFG,Downham                         ,7523,3972,39,516,3551
01AJFH,Drake                           ,8383,5564,84,890,2819
01AJFJ,Evelyn                          ,7369,4377,117,1105,2992
01AJFK,Forest Hill                     ,5368,3340,33,471,2028
01AJFL,Grinling Gibbons                ,7682,5009,98,1068,2673
01AJFM,Grove Park                      ,5161,2924,45,385,2237
01AJFN,Hither Green                    ,8805,5832,61,938,2973
01AJFP,Horniman                        ,8134,5431,32,585,2703
01AJFQ,Ladywell                        ,8166,5490,71,783,2676
01AJFR,Manor Lee                       ,6058,4139,51,454,1919
01AJFS,Marlowe                         ,7672,4930,114,1135,2742
01AJFT,Pepys                           ,8315,5736,96,1023,2579
01AJFU,Perry Hill                      ,8708,5658,45,626,3050
01AJFW,Rushey Green                    ,6436,4290,43,589,2146
01AJFX,St.Andrew                       ,5893,3968,31,384,1925
01AJFY,St.Margaret                     ,5636,3554,22,362,2082
01AJFZ,St.Mildred                      ,8740,5440,35,527,3300
01AJGA,Sydenham East                   ,7913,4923,54,726,2990
01AJGB,Sydenham West                   ,8296,5283,60,688,3013
01AJGC,Whitefoot                       ,5377,2996,31,464,2381
01AJSS,Shipping                        ,0,0,0,0,0
01AKFA,Beckton                         ,3948,2093,37,497,1855
01AKFB,Bemersyde                       ,4668,2876,42,387,1792
01AKFC,Canning Town and Grange         ,5910,3330,47,670,2580
01AKFD,Castle                          ,5593,3135,71,632,2458
01AKFE,Central                         ,5874,3461,64,722,2413
01AKFF,Custom House and Silvertown     ,9026,5594,94,1112,3432
01AKFG,Forest Gate                     ,7337,4773,67,803,2564
01AKFH,Greatfield                      ,8294,5129,74,578,3165
01AKFJ,Hudsons                         ,7278,4214,58,726,3064
01AKFK,Kensington                      ,5688,3237,68,749,2451
01AKFL,Little Ilford                   ,7735,4503,90,960,3232
01AKFM,Manor Park                      ,8442,4844,88,912,3598
01AKFN,Monega                          ,5670,3440,61,798,2230
01AKFP,New Town                        ,5119,2904,66,545,2215
01AKFQ,Ordnance                        ,3919,2107,40,599,1812
01AKFR,Park                            ,7509,4672,82,987,2837
01AKFS,Plaistow                        ,6439,3724,56,755,2715
01AKFT,Plashet                         ,8140,4659,79,1000,3481
01AKFU,St.Stephens                     ,5278,2971,53,702,2307
01AKFW,South                           ,11542,7153,94,1026,4389
01AKFX,Stratford                       ,5017,3135,49,622,1882
01AKFY,Upton                           ,7460,4411,96,963,3049
01AKFZ,Wall End                        ,8482,5108,96,930,3374
01AKGA,West Ham                        ,5945,3569,64,660,2376
01AKSS,Shipping                        ,0,0,0,0,0
01ALFA,Abbey                           ,4832,3032,37,566,1800
01ALFB,Alleyn                          ,5559,3734,38,456,1825
01ALFC,Barset                          ,4812,2918,48,513,1894
01ALFD,Bellenden                       ,8586,5957,79,877,2629
01ALFE,Bricklayers                     ,6730,4141,66,700,2589
01ALFF,Browning                        ,7414,4275,62,957,3139
01ALFG,Brunswick                       ,7723,4691,94,979,3032
01ALFH,Burgess                         ,4447,2718,52,546,1729
01ALFJ,Cathedral                       ,5174,3107,31,539,2067
01ALFK,Chaucer                         ,7415,4469,73,960,2946
01ALFL,College                         ,6169,3753,28,332,2416
01ALFM,Consort                         ,5187,3114,69,763,2073
01ALFN,Dockyard                        ,10683,7321,77,1055,3362
01ALFP,Faraday                         ,9226,5452,101,1268,3774
01ALFQ,Friary                          ,6378,3964,90,1008,2414
01ALFR,Liddle                          ,7729,4753,149,1475,2976
01ALFS,Lyndhurst                       ,8865,5555,108,876,3310
01ALFT,Newington                       ,8833,5169,70,981,3664
01ALFU,Riverside                       ,7547,4567,51,774,2980
01ALFW,Rotherhithe                     ,6015,3445,59,687,2570
01ALFX,Ruskin                          ,7797,4845,31,422,2952
01ALFY,Rye                             ,6640,4359,43,525,2281
01ALFZ,St.Giles                        ,8962,5709,100,1083,3253
01ALGA,The Lane                        ,5774,3424,65,673,2350
01ALGB,Waverley                        ,5532,3620,55,601,1912
01ALSS,Shipping                        ,0,0,0,0,0
01AMFA,Blackwall                       ,3587,1972,55,476,1615
01AMFB,Bow                             ,6290,3874,55,718,2416
01AMFC,Bromley                         ,7139,4180,117,964,2959
01AMFD,East India                      ,5164,2999,56,614,2165
01AMFE,Grove                           ,4163,2679,29,400,1484
01AMFF,Holy Trinity                    ,6960,3727,52,916,3233
01AMFG,Lansbury                        ,6309,3539,56,806,2770
01AMFH,Limehouse                       ,6306,3527,51,833,2779
01AMFJ,Millwall,10693,7214,89,1246,3479
01AMFK,Park                            ,4257,2276,35,449,1981
01AMFL,Redcoat                         ,5032,2720,63,597,2312
01AMFM,St.Dunstan's                    ,6911,3461,81,944,3450
01AMFN,St.James'                       ,4753,2631,35,525,2122
01AMFP,St.Katherine's                  ,10136,6347,71,1276,3789
