"Zone Code","UV0280002","UV0280012"
"00ACGB0044",193,7
"00ACGB0045",164,6
"00ACGB0046",126,3
"00ACGB0047",153,11
"00ACGB0048",154,7
"00ACGB0049",148,5
"00ACGB0050",139,4
"00ACGC0001",142,12
"00ACGC0002",175,7
"00ACGC0003",138,12
"00ACGC0004",140,8
"00ACGC0005",161,8
"00ACGC0006",160,12
"00ACGC0007",133,5
"00ACGC0008",161,6
"00ACGC0009",130,12
"00ACGC0010",131,8
"00ACGC0011",172,9
"00ACGC0012",173,5
"00ACGC0013",181,12
"00ACGC0014",141,4
"00ACGC0015",146,10
"00ACGC0016",143,3
"00ACGC0017",113,5
"00ACGC0018",164,0
"00ACGC0019",116,8
"00ACGC0020",179,5
"00ACGC0021",148,8
"00ACGC0022",155,8
"00ACGC0023",155,6
"00ACGC0024",161,5
"00ACGC0025",136,5
"00ACGC0026",135,8
"00ACGC0027",122,4
"00ACGC0028",179,11
"00ACGC0029",179,8
"00ACGC0030",187,7
"00ACGC0031",154,7
"00ACGC0032",136,7
"00ACGC0033",185,7
"00ACGC0034",158,11
"00ACGC0035",146,8
"00ACGC0036",163,4
"00ACGC0037",135,4
"00ACGC0038",198,8
"00ACGC0039",122,5
"00ACGC0040",208,7
"00ACGC0041",128,9
"00ACGC0042",182,5
"00ACGC0043",149,0
"00ACGC0044",175,4
"00ACGC0045",160,0
"00ACGC0046",174,8
"00ACGC0047",225,7
"00ACGC0048",154,4
"00ACGC0049",164,9
"00ACGC0050",153,7
"00ACGC0051",136,6
"00ACGD0001",145,5
"00ACGD0002",170,7
"00ACGD0003",113,14
"00ACGD0004",155,4
"00ACGD0005",72,4
"00ACGD0006",124,6
"00ACGD0007",140,3
"00ACGD0008",188,8
"00ACGD0009",166,5
"00ACGD0010",189,20
"00ACGD0011",118,23
"00ACGD0012",136,9
"00ACGD0013",159,14
"00ACGD0014",156,3
"00ACGD0015",113,4
"00ACGD0016",102,10
"00ACGD0017",178,8
"00ACGD0018",142,19
"00ACGD0019",160,3
"00ACGD0020",115,17
"00ACGD0021",143,3
"00ACGD0022",200,11
"00ACGD0023",185,6
"00ACGD0024",159,4
"00ACGD0025",113,14
"00ACGD0026",200,10
"00ACGD0027",84,11
"00ACGD0028",110,12
